,comment,gen_comment,sentiment
7415,۱ عالیه برنامتون خسته نباشین ممنون ,۱ عالیه برنامتون خسته نباشین ،,1
4559,پرفسور مریم میرزاخانی,پرفسور مریم طوسی,0
7052,سلام آقای رشید پور من کارمند یکی از پروژه‌های قطار شهری کرج هستم الان تا امروز ۶ماهه حقوق نگرفتیم واقعا چرا،، ,سلام اقای رشید پور خودم کارمند یکی از پروژههای قطار شهری کرج هستم الان صبح امروز ۶ماهه سود نگرفتیم واقعا سخته,-1
5287,جناب رشیدپور گرامی روز مهندس رو بهتون تبریک میگم انشاالله همیشه موفق و پیروز باشی امین از برنامه خوبتونم ممنون دست همگی درد نکنه,جناب رشیدپور گرامی روز مهندس رو خیلی تبریک عرض انشاالله همیشه شاد و پیروز باشی امین از حال خوبتونم ممنون دست همگی درد نکنه,1
6662,سلام رضا رمضان زاده هستم خبری از ما نمیگیرید دیگه اقای رشید پور چی شد اخر جایزه منو ندادیا,سلام رضا رمضان پور هیچ خبری از ما نمیگیرید دیگه اقای رشید پور چی شد که جایزه منو ندادیا,-1
3519,آقای رشید خیلی سعی کردم امروز صبح یکشنبه بابرنامه حالاخورشید تماس بگیرم حرف دلم و بگم تاکمی سبک بشم و یک گره بزرگ خودم با شما درمیان بگذارم نتونستم ۰۹۱۴۷۳۴۹۴۲۳,اقای رشید خیلی سعی کنم امروز یک و بابرنامه حالاخورشید تماس بگیرم حرف دلم و بگم تاکمی سبک بشم و یک انرژی بزرگ خودم با شما را بگذارم نتونستم ۰۹۱۴۷۳۴۹۴۲۳,0
212,اقای رشیدپور امروز از حقوقی که بعضی از نمایندهای مجلس از شرکت نفت میگیرن در ضمن حقوق NUM۲ میلیونی خیلی عجیب بود در حالیکه کسایکه میلیاردها هزینه میکنن اصلا حقوق NUM۲ میلیونی واسشون الویت چندمه یه حساب سرانگشتی اگه حقوق NUM۲ میلونی روام در نظر بگیریم سالش میشه NUM۳ و چهار سالش میشه NUM۳ میلیون اقا بعضیهاشون درامدهای حتی بایک تلفن میلیاردی دارن.!!!,اقای رشیدپور غیر از حقوقی میلیاردی بعضی از نمایندهای مجلس از شرکت گرفته میگیرن در ضمن حقوق num۲ ملیون خیلی عجیب بود در حالیکه کسایکه میلیاردها هزینه میکنن اصلا حقوق num۲ ملیون واسشون الویت چندمه یه حساب کنم اگه حقوق num۲ میلونی براشون در نظر بگیرم سالش میشه num۳ و چهار سالش میشه num۳ میلیون اقا بعضیهاشون درامدهای حتی بایک تلفن میلیاردی داشتن,-1
974,۸۵ درصد داوطلبان مخالف تاثیر قطعی هستند لطفا اقای لاشکی را دعوت کنید وزیر اموزش پرورش جوابگو نیست,۸۵ درصد داوطلبان مخالف تاثیر قطعی هستند لطفا اقای رشید پرورش مطرح کنید وزیر اموزش پرورش جوابگو نیست,-1
7051,این زندگی زنده رو زنده کشت,این زندگی زنده رو میشه کشت,-1
42,صب بخیر اقای رشید پور برنامع تون خیلی جالبه,سلام بخیر اقای رشید پور برنامع تون خیلی قشنگه,1
7086,ارسال نمیشه چرا؟؟,ارسال نمیشه سلام,-1
8229,درود بر شما که فراموشکار نیستید,درود بر شما هرگز فراموشکار نیستید,1
5348,سلام رشید خوبی داداش؟ قوربونه اقا. مشتی باشی,سلام اقا سلام داداش ؟ قوربونه اقا. مشتی باشی,1
119,یزد آب ندارد,پسرم اب ندارد,0
3461,ماشاءالله به غیرت و پشتکارش. ,ماشاءالله به غیرت و شرف,1
3713,کیرم تو خودتون و ذهنتون,کیرم رو خودتون و ذهنتون,-1
6072,آقای رشیدپور لطفا خبرش رو به ما بدید که آیا پیشنهاد کار بهشون میشه یا نه,اقای دکتر زاده خبرش رو به ما بدید که ایا پیشنهاد کار ارايه میشه یا نه,0
5765,برنامتون چه موقع پخش میشه,برنامتون چه موقع پخش میشد,0
5497,دمش گرم باغیرت بی ادعا به اینجور انسانها میگن,خیلی گرم باغیرت خوش ادعا به اینجور انسانها میگن,1
6878,بله به توان هزار,بله به توان داریم,1
2175,مهمانهای عزیزی هستن … ولی من یه هدیه دارم,یه عزیزی هستن … ولی من چندتا هدیه دارم,1
780,لطفا پیگیر مناظره اقای بطحایی با دانش اموزان باشید,لطفا پیگیر مناظره اقای بطحایی با دانش اموزان باشید,0
5775,البته با مدیریت صحیح میشه به بحران خاتمه داد,البته با برنامه صحیح میشه به بحران پاسخ داد,0
8235,فقط ارواح می‌توانند,فقط اقایان میتوانند,1
1875,دستشون دردنکنه، که اینقدرزیبابازی کردن,دستشون دردنکنه ، که سکته کردن,1
3750,متعصب نیستم اما گزینه‌ها بهم بیربطن کاملا,من نیستم که گزینهها بهم بیربطن کاملا,-1
6688,شاید وقتی دیگر. اولین فیلمی که ازشون یادمه,شاید وقتی دیگر. اولین فیلمی که بازی میبینید,0
1028,واقعا متاسفم برات آقای رشید پور ک دارید از این فرد دفاع میکنی,خیلی متاسفم برات اقای رشید پور ک دارید از این فرد دفاع میکنی,-1
4802,سلام آقای رشید پور میدانم بخاطر ما مردم همیشه حقیقت را می‌گویید و من و امثال من همیشه پشت شما هستیم و از این بابت ممنونت آن هستیم بخاطر صداقت تان سپاسگذارم و امیدوارم سلامت و در کنار خانوادتون پایدار باشید در قلب همه‌ی مردم هستید,سلام اقای رشید پور میدانم بخاطر ما که همیشه حقیقت را میگویید و من و امثال من همیشه پشت شما هستیم و از این بابت ممنونت ان هستیم بخاطر صداقت شما سپاسگذارم. امیدوارم سلامت و در کنار خانوادتون پایدار و قوت قلب همهی مردم هستید,-1
8264,روحشون شاد که چه داغ بزرگی بر دلشون ماند,روحشون شاد. چه داغ بزرگی بر دلشون ماند,-1
1694,چرا داعشیه از ده قدمی ماشین آرپیچی رو اشتباه زدن,چرا داعشیه از ده قدمی با ارپیچیو اشتباه زدن,0
5362,نگران نباشید ایران در جمع کردن اجساد رتبه اول داره.,نگران نباشید ایران در کم کردن برق رتبه اول داره.,-1
5490,عجب کسوشعری گفتی عمو,عجب کسوشعری بود عمو,-1
230,پرویز نشاط آخه این چه مدل لباس پوشیدن هستش بابا خیلی بد لباس هستی یه کم با سلیقه بشو این همه مدت تو تلویزیون هستی از همکارات یاد بگیر!!!,پرویز نشاط اخه این چه مدل لباس پوشیدن هستش بابا به بای رو یه کم با سلیقه بشو این همه مدت تو تلویزیون هستی از همکارات یاد بگیر!!!,-1
6552,برنامه تون عالیه، به خاطر برنامه شما نخوابیدم,برنامه تون عالیه ، به خاطر برنامه تون تون,1
4638,بعداز مهندس عزیزم رشید پور خیابانی,بعداز مهندس عزیزم رشید پور خیابانی,0
2666,سلام لطفا قانون تصویب قطعی کنکور رو حذف کنید,سلام لطفا قانون تصویب قطعی کنکور ار اجرا کنید,0
1238,انشاالاه که بیایین منتظر نمانیم بهتر ازین نمیشه ,انشاالاه که بیشتر منتظر نمانیم بعد ازین نمیشه,1
4448,رشید پور و مهران مدیری,رشید پور و اقای مدیری,0
2039,حدودا پایتخت بعدی کی استارت میخوره؟ امسال یا سال دیگه؟,حدودا دولت بعدی کی استارت میخوره ؟? یا سال دیگه ؟,0
4275,اقای رشید پور,اقای رشید سلیمانی,0
5515,تاسف فراوان دیگر نایی برا فریاد نیست,سلام فراوان دیگر جایی برا فریاد نیست,-1
2958,روز اول ادمد کتاب معرفی کنه شد مجری اگه به عنوان مجری اومده بود الان رئیس صدا سیما بود,روز اول ادمد کتاب معرفی کنه ولی مجری اگه به عنوان مجری اومده بود الان در یک سیما بود,1
2542,سلام اقای رشید پور بنده به نمایندگی ازکارگران اداره برق پرسنل پیمانکار جامع بهره برداری خواهش میکنم در خصوص وضعیت امنیت شغلی ما پیگیری بفرمایید با این خطر ودست مزد خیلی کم کار میکنیم اما پیمانکار به هر بهانه اخراج میکنه واقعیت اینه که ما غروب هر روز به اینکه فردا هم شاغل هستیم یا نه شک داریم وهمیشه اضطراب بیکار شدن دروجودمان هست خواهش میکنم با تحقیق ودانش کلی پیگیری کنید,سلام اقای رشید پور بنده به نمایندگی ازکار شرکت برق پرسنل پیمانکار جامع بهره برداری خواهش میکنم در خصوص وضعیت امنیت کار ما پیگیری بفرمایید با این خطر ودست مزد خیلی کم کار میکنیم اما پیمانکار به هر بهانه اخراج میکنه واقعیت اینه که ما غروب هر روز به اینکه فردا هم شاغلم هستیم نه شک داریم و نگران بیکار شدن دروجودمان هست و باید با تحقیق ودانش کلی پیگیری میکنیم,-1
5772,مگه حالا خورشید برگشته,دوباره حالا خورشید برگشته,0
7698,خیلی خاطره بدی بود من یک هفته جلو تلویزیون بودم منتظر معجزه که زنده باشن,خیلی خاطره بدی بود که یک هفته جلو تلویزیون بودم یه معجزه که زنده باشن,-1
2307,ای کاش رهبر دلسوز همبشه بودتد و خود در این برهه حساس گوش بی کفایت‌ها رو میپیچوند اینروزها از همه مسولبن متنفرم چون هیچکدوم کارایی ندارن همش سخرانی خسته شدیم بخدا از بس گپ میزنید عمل کنید,ای کاش کسی دلسوز ملت بودتد و خود در این برهه حساس جور بی کفایتها رو میپیچوند اینروزها از همه مسولبن هستیم چون هیچکدوم کارایی ندارن همش سخرانی خسته شدیم بخدا شما بس فریاد میزنید عمل کنید,-1
4088,اتفاقا، اینروزها ما خیلی به طنز نیاز داریم، نظر بنده است، ,اتفاقا ، اینروزها ما خیلی کتابهای طنز نیاز داریم ، نوبت بنده است ،,-1
2990,اهل رمان نیستم,اهل دروغ نیستم,0
1635,یکی از سوتی هاشون این بود که توی هواپیما هما با گوشی صحبت میکنه اما گوشی رو صفحه اصلیه و هی قفلش باز میشه.,یکی از سوتی هاشون این بود که توی تلگرام هما درمورد گوشی صحبت میکنید اما گوشی رو صفحه اصلیه و هی قفلش باز میشد,1
1487,سلام از آقای تنابنده بپرسین اولین سکانس پایتخت NUM۱ کدوم سکانس بود,سلام از خانم تنابنده بپرسین اولین سکانس پایتخت دقیقا کدوم سکانس بود,0
8111,ما که حاضریم بریم پرش کنیم,حالا که حاضریم بریم پرش کنیم,0
4947,آقای رشید پور دایرکت برات پم دادم لطف کن جوابمو بده,اقای رشید رشیدو برات پم دادم لطف کن جوابمو بده,0
6717,صد در صد یا بگم هزار در هزار یا بگم میلیارد در میلیارد خیلی خیلی راضی هستیم برنامه شما واقعا حرف نداشت خیلی خوب درد دل مردم رو می‌گفتین و مشکلات را حل میکردین,صد در صد یا بگم ده در هزار کلمه بگم میلیارد در میلیارد خیلی خیلی راضی هستیم صحبت شما واقعا حرف نداشت ، خوب درد دل مردم رو میگفتین و مشکلات را نمیفهمید میکردیم,1
1813,پایتخت NUM۱ بسازید,پایتخت یک بسازید,0
6744,برنامه تون عالیه تورو خدا تمومش نکنیدمن وهمسرم هر روز صبح به عشق برنامه شما بلند میشم,برنامه تون عالیه تورو خدا تمومش نکنیدمن صبح هر روز من به عشق صدای شما بلند میشم,1
1312,خوش اومدین بهترین خبر بودااا سرکار دیگه تی وی روشن نمیکردم از فردااا آخ جووون ,خوش اومدین بهترین خبر که کاش دیگه روی وی روشن نمیکردم از فردااا اخ جووون,1
5500,رشید پور عجب نقشی بازی میکنه که مثلا غمگینه مثلا غصه مردمو میخوره در حالیکه خیلیارو فریب داد رای برای روحانی گرفت و الان با پولای روحانی جونش میاد پشت تریبون ادای مردم دوستی در میاره جناب رشید پور ملت احمق نیستن,رشید پور عجب نقشی بازی میکنه که مثلا غمگینه مثلا غصه مردمو میخوره در انتخابات باید فریب داد رای برای روحانی نیست و الان از پولای روحانی جونش میاد پشت تریبون ادای مردم دوستی در میاره جناب اقای پور ملت مان,-1
2686,همه اینا مسخره بازیه,همه اینا خوب بازیه,-1
5313,با شنیدن صحبتهای خانم سمیه میرزا محمدی بسیار متاثر شدم که هلال احمر چنین ظلمی به این انسانهای فدا کار و از خود گذشته روا میدارد,با شنیدن صحبتهای خانم سمیه میرزا ، بسیار متاثر شدید که هلال احمر چنین ظلمی به همه انسانهای فدا کار و از خود گذشته روا میدارد,-1
6541,خب پولشوداری LINK اون بیچاره هارفتن بیرون,خب. link ما بیچاره هارفتن بیرون,-1
2092,ازش بپرس خسته نشد از کل کل با ارسطو؟؟؟ بگو لطفا دیگه ارسطو رو زن بدن بره واسه پایتخت بعدی,ازشا خسته شدیم از کل کل با من بگو لطفا دیگه ارسطو رو زن بدن بره واسه پایتخت بعدی,1
4015,همه شون بهترینن، چجوری میخواین‌ یکی رو انتخاب کنین؟,بچه شون بهترینن ، چجوری میخواین یکی رو پیدا کنین ؟,0
7765,عالی بود این پسر,عالی بود این بود,1
2919,ببخشید همون جریان مهناز ومحمد هست دیگه,ببخشید همون جریان مهناز ومحمد حسینیست,0
7991,سلام من هم میگم حالا خورشید بدون آقای رشید پور حالا خورشید نیست حتما نیست ,سلام من هم موافقم حالا خورشید بدون اقای رشید پور حالا خورشید نیست که نیست,-1
6992,اقای نشاط فوالعاده بود با این به قول خودشون یخچال,اقای نشاط فوالعاده بود با این به قول خودشون بود,1
1336,این چه کنکوری بود که امسال برگزار شد که به فرزندان شهدا و ایثارگران هم حق استفاده از این سهمیه رو دادن هم مناطق LINK به ما رسید که اصلا سهمیه نداشتیم,این چه کنکوری بود ک امسال برگزار شد که به خانواده شهدا و جانبازان هم حق استفاده از این سهمیه رو دادن هم متاسفانه link به ما رسید که اصلا سهمیه نبود,-1
5655,سلام نگاهی به وضعیت ناشرین و کتابفروشان خیابان انقلاب بندازین که با ضعف شدید شهرداری تمام خیابان انقلاب تبدیل به عرصه یکه تازی دست فروشان شده البته اگر فرهنگ برای شما دوستان مهم باشه,سلام نگاهی به وضعیت ناشرین و کسبه خیابان انقلاب بندازین که با ضعف شدید در تمام خیابان انقلاب تبدیل به عرصه یکه تازی دست فروشان شد البته اگر فرهنگ برای شما دوستان جذاب باشه,-1
2911,خلاصه دوسشون دارم هر دو را,خلاصه دوسشون داریم هر دو را,1
6760,بسیار عالی احسنت با مجری‌گری اقای رشیدپور مگه میشه برنامه بد باشه,بسیار ممنونم احسنت با مجریگری اقای رشیدپور مگه میشه برنامه بهتری باشه,1
7554,به نظرمن شما عالی LINK اجراتون هم LINK از حضورتون,به نظرمن شما عالی link و هم link از حضورتون,1
261,سلام ب عوامل محترم برنامه‌ی مدافع حق و حقوق مردم حالا خورشید میخواستم بگم که دانشگاه ازاد اراک برا خوابگاهش امسال هزینه اشو دو برابر کرده در صورتی که قانون اومده فقط باید ده درصد زیاد بشه واقعا هزینه‌اش کمر شکنه علاوه بر هزینه‌های گزاف شهریه باید اینم سنگینی بر دوش خانوادمون LINK خابگاه از سیصد و شصت ب هفصد تومن رسیده که اگر خوابگاهشون دارای امکانات بود حرفی نبود بلکه خابگاهش طوری ک ده تا دانشجورو تو ی اتاق دوازده متری جا میکنن و اینکه برای سرویس بهداشتی و اشپزخونه باید بیست پله بیای پایین … لطفااا پیگیری کنید بلکه ب گوش مسئولین بالاتر برسه تا دیگ این سودجویی‌های دانشگاه ازاد کمتر بشه با تشکر,سلام ب عوامل محترم و مدافع حق و حقوق مردم حالا خورشید میخواستم بگم که دانشگاه ازاد اراک برا خوابگاهش که هزینه اشو دو برابر کرده در صورتی که قانون اومده که اگر ده درصد زیاد بشه واقعا هزینهاش کمر شکنه علاوه بر هزینههای بالای شهریه که اینم سنگینی بر دوش خانوادمون link که از سیصد و شصت ب هفصد تومن رسیده ولی اگر خوابگاهشون دارای امکانات بود حرفی نبود بلکه خابگاهش طوری که ده تا دانشجورو تو ی اتاق دوازده متری جا میکنن و میگن برای سرویس بهداشتی و اشپزخونه باید بیست تومن بیای پایین. لطفااا رسیدگی کنید بلکه ب گوش مسيولین بالاتر برسه تا دیگ این سودجوییهای دانشگاه ازاد کمتر بشه با تشکر,-1
7159,هیچ کس آقای رشیدپور نمیشود.,اون کس اقای رشیدپور نمیشود.,0
1454,برنامه حالا خورشید به خاطره پول حاضره دروغ LINK برنامه اوردن از سر پل ذهاب که در چادر زندگی میکنه ولی رفتن تحقیق کردن دیدن طرف خونه شیک کامل داره توی LINK کلیپ رو ببینید LINK,برنامه حالا خورشید به خاطره پول حاضره دروغ link رو اوردن از سر راه ذهاب که در چادر زندگی میکنه برای رفتن صحبت کردن دیدن طرف خونه شیکو داره توی link کلیپ لطفا ببینید link,-1
5695,ولی روز موعود خیلی نزدیکه که باید کاسه کوزه شونو جمع LINK اجازه نمیدیم به این راحتی برن. باید جواب پس بدن‌. این همه ظلمی که به ما ملت LINK دیگه اون مردم ساده LINK چیزی واسه از دست دادن نداریم,ولی روز موعود خیلی نزدیکه که باید کاسه کوزه را جمع link اجازه نمیدیم به این مملکت برن. باید جواب پس بدن. سلام از ظلمی که به ما شد link دیگه اون عده ساده link چیزی واسه از ما دادن نداریم,-1
5354,آقا لطفا شما نیا حالا خورشید. مجری فقط رشیدپور,اقا رضا شما نیا حالا خورشید مجری فقط رشیدپور,0
3351,بهنام بانی بهترینه از هرنظر مخصوصا با اون سیبیلای سالوادوریش!,بهنام خیلی بهترینه از هرنظره با اون سیبیلای سالوادوریش!,1
3350,باسلام جواب اون یزیزمحترم که گفته بودن اقای بهنام بانی جلوترازاقای شجریان اینطورنیست اقایونی امثال اقای بانی موردپسندهه‌های خودشونندواقای شجریان وامثال ایشان نه تنهادردهه‌های خودشون بلکه دردهه‌های جدیدهم دوست داشتنی هستن جوان‌های ماهم بایدجای خودشونودرعرصه‌ی موسیقی داشته باشن ضمن اینکه سلیقه هامتفاوت وهرکسی حق انتخاب داره من برای همه خواننده‌های قدیمی وجدیدارزوی سلامتی وموفقیت رودارم,باسلام جواب اون یزیزمحترم که گفته بودن اقای بهنام پور جلوترازاقای شجریان اینطورنیست اقایونی امثال اقای بانی موردپسندهههای خودشونندواقای شجریان هستن که نه تنهادردهههای خودشون بلکه دردهههای جدیدهم دوست داشتنی هستن جوانهای ماهم هم به موسیقی داشته باشن ضمن اینکه سلیقه هامتفاوت وهرکسی حق انتخاب داره من برای همه هنرمندان قدیمی ارزوی سلامتی وموفقیت رودارم,-1
1869,پیشاپیش در گذشت پنجعلی رو تسلیت عرض می‌کنممم … غم اخرتون باشههه,سلام در گذشت پنجعلی رو تسلیت عرض میکنمممن غم اخرتون باشههه,1
1035,میزان رای ملت است نه به تاثیر قطعی سوابق تحصیلی در کنکور چرا فرصت برابر تحصیل را از ما گرفتید,میزان رای ما است نه به حذف قطعی سوابق تحصیلی در کنکور چرا فرصت برابر کنکور را از ما گرفتید,0
4620,حاج قاسم سلیمانی عزیز,حاج قاسم پور عزیز,0
352,سلام اقای رشید پور من ازشیراز دارم صحبت میکنم اینجا به هر خانواده دوتا شیشه روغن بیشتر نمی‌دن لطفا رسیدگی کنید ازمسولین,جناب اقای رشید پور من ازشیراز دارم صحبت میکنم اینجا به یه خانواده شما شیشه روغن بیشتر نمیدن لطفا رسیدگی کنید ازمسولین,-1
2127,وای چه عالیه، به به جناب آقای رشیدپور، سپاس ,وای چه عالیه ، درود به جناب اقای نشاط سپاس,1
1687,لطفا بپرسید چرا اون داعشی‌ها یه تیر نزدن اصن بهتون؟,لطفا بپرسید چرا اون مردم یه حرفی نزدن اصن بهتون ؟,0
3010,احسنت جوانهای خوش سلیقه ,برای جوانهای خوش سلیقه,1
1632,منتظر پایتخت ۶,منتظر پایتخت باشید,0
102,الحمدالله که تو کشور ما حقوق بشر رعایت می‌شه,الحمدالله که تو کشور ما حقوق بشر وجود شده,-1
5218,در مهندس بین خیال خانه‌ای در دلش چون در زمینی دانه‌ای آن خیال از اندرون آید برون چون زمین که زاید از تخم درون هر خیالی کو کند در دل وطن,در این بین خیال خانهای در دلش چون در زمینی دانهای ان خیال از اندرون اید برون چون زمین که پر از تخم درون ان خیالی کو کند در دل است,0
4976,اون مردیکه دروغگو هم که تو برنامه اومده بهش بگو احمق جان اگه رادار بود حداقل میدونستن هواپیما دقیق کجا سقوط کرده … نه که بعد هز NUM۱ روز میداش کنید.. البته اون مغزش در همین حد رشد کرده … بیشتر از این که میگه نمیفهمه,اون اقای دروغگو هم که تو ایران اومده ، بگو احمق جان اگه رادار بود ، میدونستن هواپیما دقیق کجا سقوط کرده … نه که بعد هز ده روز میداش کنید.. البته اون مغزش در همین زمان سکته کرده … بیشتر از این که میگه نمیفهمه,-1
7257,بهترین برنامه تلوزیون درصبح برنامه شماس خداقوت به همه دست اندرکاران برنامتون (NUM۱),بهترین برنامه تلوزیون درصبح برنامه شماس خداقوت به تمام دست اندرکاران برنامتون ( num۱ ),1
3585,خانم با شخصیت ومتین,بانوی با شخصیت ومتین,1
7934,باسلان خدمت اهالی محترم حالا خورشید امیدوارم همیشه شادو پیروز باشید از کازرون,باسلان خدمت اهالی محترم حالا خورشید امیدوارم همیشه شادو پایدار نباشید از کازرون,1
3849,نیکی و پرسش ۴,نیکی و شهاب ۴,0
784,تقلب در کنکور,تقلب با کنکور,-1
6224,حلقه اتون خوشگله,حلقه اتونا,1
2778,پیمانکار =خوردن حق مظلوم,پیمانکار = خوردن گوشت مظلوم,-1
4710,اقا رضا رشیدپور تمااام و بعدش اقا مهران مدیری,اقا رضا رشیدپور تمااام ، بعدش اقا کاظم مدیری,0
1118,اقا من تازه بابا شدم روز دختر و به دختر کوچولو ماهم تبریک بگید ایناز از کرمان,اقا پرویز تازه بابا شدم روز دختر و به دختر کوچولو ماهم تبریک میگیم ایناز از کرمان,1
1725,چرا نمیزارین همای سعادت حرف بزنه ,چرا نمیزارین همای تنهایی حرف بزنه,-1
